name,flights,hotel,grocery,gas,dining,other,rotating,flat_cash_back,req_credit,annual_fee,card_type,application_link,review_link,annual_bonus,image_url,converted_name
Alliant Cashback Visa® Signature Credit Card,2.5,2.5,2.5,2.5,2.5,2.5,FALSE,TRUE,690,99.0,Visa,,https://www.nerdwallet.com/reviews/credit-cards/alliant-cashback,0.0,//cdn.nerdwallet.com/img/cc/CC_placeholder.svg,Alliant-Cashback-Visa-Signature-Credit-Card
American Express Cash Magnet® Card,1.5,1.5,1.5,1.5,1.5,1.5,FALSE,TRUE,690,0.0,American Express,,https://www.nerdwallet.com/reviews/credit-cards/american-express-cash-magnet,0.0,//cdn.nerdwallet.com/img/cc/CC_placeholder.svg,American-Express-Cash-Magnet-Card
Capital One® Quicksilver® Cash Rewards Credit Card,1.5,1.5,1.5,1.5,1.5,1.5,FALSE,TRUE,690,0.0,Unknown,,https://www.nerdwallet.com/reviews/credit-cards/capital-one-quicksilver,0.0,//cdn.nerdwallet.com/img/cc/CC_placeholder.svg,Capital-One-Quicksilver-Cash-Rewards-Credit-Card
Chase Freedom Unlimited®,1.5,1.5,1.5,1.5,1.5,1.5,FALSE,TRUE,690,0.0,Unknown,https://www.nerdwallet.com/redirect/credit-cards/3214?clickHeader_category=Credit%20Card&clickHeader_productId=3214&name=chase-freedom-unlimited&trk_channel=web&trk_element=button&trk_location=MarketplaceApplyNow&trk_nldt=Decide&trk_pagetype=review&trk_sectionCategory=MarketplaceProductCard__cta&trk_topic=Cash%20Back%20Credit%20Cards&trk_vertical=Credit%20Cards&finish_type=external_application&has_prequalified=false&impression_id=&link_type=APPLY_NOW_BUTTON&monetizable=&page_number=&product_display_driver=&product_position=1&section_name=&section_position=&header_pageViewId=310e74aa-ccbe-409e-9b4b-8e951342b5ca,https://www.nerdwallet.com/reviews/credit-cards/chase-freedom-unlimited,0.0,//www.nerdwallet.com/c1/images/3214_3ad108f06f944568e5f699eb1638d761_138x225_L.jpg,Chase-Freedom-Unlimited
Citi® Double Cash Card – 18 month BT offer,2.0,2.0,2.0,2.0,2.0,2.0,FALSE,TRUE,720,0.0,Unknown,https://www.nerdwallet.com/redirect/credit-cards/4220?clickHeader_category=Credit%20Card&clickHeader_productId=4220&name=Citibank-Double-Cash-Card&trk_channel=web&trk_element=button&trk_location=MarketplaceApplyNow&trk_nldt=Decide&trk_pagetype=review&trk_sectionCategory=MarketplaceProductCard__cta&trk_topic=Cash%20Back%20Credit%20Cards&trk_vertical=Credit%20Cards&finish_type=external_application&has_prequalified=false&impression_id=&link_type=APPLY_NOW_BUTTON&monetizable=&page_number=&product_display_driver=&product_position=1&section_name=&section_position=&header_pageViewId=c0634115-2357-411a-891b-46b15b58fe44,https://www.nerdwallet.com/reviews/credit-cards/citi-double-cash,0.0,//www.nerdwallet.com/c1/images/4220_3fb539944934bc9a229b36e93b9604ca_140x225_L.jpg,Citi-Double-Cash-Card-–-18-month-BT-offer
HSBC Cash Rewards Mastercard® credit card,1.5,1.5,1.5,1.5,1.5,1.5,FALSE,TRUE,690,0.0,MasterCard,,https://www.nerdwallet.com/reviews/credit-cards/hsbc-cash-rewards,0.0,//cdn.nerdwallet.com/img/cc/CC_placeholder.svg,HSBC-Cash-Rewards-Mastercard-credit-card
PayPal Cashback Mastercard®,2.0,2.0,2.0,2.0,2.0,2.0,FALSE,TRUE,690,0.0,MasterCard,,https://www.nerdwallet.com/reviews/credit-cards/paypal-cashback,0.0,//www.nerdwallet.com/c1/images/65558_dd60e34d53d565581e23a7f2a6ee1072_141x225_L.jpg,PayPal-Cashback-Mastercard
U.S. Bank Cash 365™ American Express® Card,1.5,1.5,1.5,1.5,1.5,1.5,FALSE,TRUE,720,0.0,American Express,,https://www.nerdwallet.com/reviews/credit-cards/us-bank-cash-365-american-express,0.0,//cdn.nerdwallet.com/img/cc/CC_placeholder.svg,U.S.-Bank-Cash-365-American-Express-Card
Wells Fargo Cash Wise Visa® card,1.5,1.5,1.5,1.5,1.5,1.5,FALSE,FALSE,690,0.0,Visa,,https://www.nerdwallet.com/reviews/credit-cards/wells-fargo-cash-wise,0.0,//cdn.nerdwallet.com/img/cc/CC_placeholder.svg,Wells-Fargo-Cash-Wise-Visa-card
Blue Cash Everyday® Card from American Express,1.0,1.0,3.0,2.0,1.0,1.0,FALSE,FALSE,690,0.0,American Express,https://www.nerdwallet.com/redirect/credit-cards/1006?clickHeader_category=Credit%20Card&clickHeader_productId=1006&name=American-Express-Blue-Cash&trk_channel=web&trk_element=button&trk_location=MarketplaceApplyNow&trk_nldt=Decide&trk_pagetype=review&trk_sectionCategory=MarketplaceProductCard__cta&trk_topic=Cash%20Back%20Credit%20Cards&trk_vertical=Credit%20Cards&finish_type=external_application&has_prequalified=false&impression_id=&link_type=APPLY_NOW_BUTTON&monetizable=&page_number=&product_display_driver=&product_position=1&section_name=&section_position=&header_pageViewId=81c501e0-d0ef-46fa-a612-d5d9163d68ce,https://www.nerdwallet.com/reviews/credit-cards/american-express-blue-cash-everyday,0.0,//www.nerdwallet.com/c1/images/1006_48e26af921829b36e1a60efb9261ad93_141x225_L.jpg,Blue-Cash-Everyday-Card-from-American-Express
