,flights,hotel,grocery,gas,dining,other,flat_cash_back,rotating,name,req_credit,application_link,card_type,annual_fee
0,1.0,1.0,5.0,5.0,1.0,5.0,False,True,ABOC Platinum Rewards Mastercard® Credit Card,Excellent,https://clicks.surehits.com/ListingDisplay/Click/?I=ZTg4NTRjOTQtZTE5Yy00NDc5LWI3OTAtZGZjZGU5OTk5NTY5&U=aHR0cHM6Ly9jdC5idXlyaWdodC5jb20vcmQvci5waHA%2fc2lkPTQ1JnB1Yj02NTAxNjEmYzE9Q1ImYzI9JGNsaWNra2V5JCZjMz0%3d&SI=NzRhZTBlNWYtZDRmNC00NTQ4LWE3NGItYjAzMjVlNjIyNmY1&SDT=NjM3MzA5NDMyNTMwNTA5OTgx&T=MQ%3d%3d&BM=MQ%3d%3d&ZZ=1595346453,MasterCard,35.0
1,1.0,1.0,1.0,1.0,1.0,1.0,False,False,Aer Lingus Visa Signature® Card,Good/Excellent,https://clicks.surehits.com/ListingDisplay/Click/?I=NTE0MzE1YjEtNGRmMy00MDc4LThlYzUtYTAwNWExZTBkNjRj&U=aHR0cHM6Ly9jbGljay5saW5rc3luZXJneS5jb20vbGluaz9pZD1LQjRxb1NUS2tDOCZvZmZlcmlkPTc5MjkyMi4zMTUwMSZ0eXBlPTE1Jm11cmw9aHR0cHMlM2ElMmYlMmZjcmVkaXRjYXJkcy5jaGFzZS5jb20lMmZ0cmF2ZWwtY3JlZGl0LWNhcmRzJTJmYXZpb3MlMmZhZXItbGluZ3VzJTNmQ0VMTCUzZDZIOFgmdTE9JGNsaWNra2V5JA%3d%3d&SI=ZWIxYmQyODctOWQzMy00YWVkLThhZGQtNzlmNzkxOWJkMTgz&SDT=NjM3MzA5NDMyNTQxMjAyNTk1&T=MQ%3d%3d&BM=MQ%3d%3d&ZZ=1595346454,Visa,0.0
2,2.0,1.0,2.0,1.0,1.0,1.0,False,False,American Airlines AAdvantage MileUp℠ Card,Excellent,https://clicks.surehits.com/ListingDisplay/Click/?I=ZGFmMGVmZDAtMTIwMy00N2NiLThiNDMtYmQzOTA5MWZkMzI0&U=aHR0cHM6Ly9jbGljay5saW5rc3luZXJneS5jb20vZnMtYmluL2NsaWNrP2lkPWVsQ3lhRFlLb3p3Jm9mZmVyaWQ9NzgyMjQwLjEzODQmdHlwZT0zJnN1YmlkPTAmdTE9JGNsaWNra2V5JA%3d%3d&SI=ZDBhYTgwZGQtYzY0OS00ZWM2LWJmZDItNDQxZTUyM2M3YjU5&SDT=NjM3MzA5NDMyNTQ0ODUzOTk1&T=MQ%3d%3d&BM=MQ%3d%3d&ZZ=1595346454,Unknown,0.0
3,1.0,1.0,2.0,2.0,1.0,1.0,False,False,AAA® Member Rewards Visa Signature® Card,,,Visa,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,False,False,AACS,,,Unknown,0.0
5,1.0,1.0,1.0,3.0,1.0,1.0,False,False,AARP® Credit Card from Chase,,,Unknown,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,,False,"AEO, Inc. Credit Card",,,Unknown,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,,False,"AEO, Inc. Visa® Card",,,Visa,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,,False,Abercrombie & Fitch Credit Card,,,Unknown,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,False,False,Agriculture Federal Credit Union Secured Visa® Classic,,,Visa,0.0
