"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"4/02/2020","GrubHub","GRUBHUB/SEAMLESS","55.00","debit","Food & Dining","American Express Gold Card","",""
"4/01/2020","BRASSICA KITCHEN CAFE","BRASSICA KITCHEN CAFE","9.84","debit","Restaurants","American Express Gold Card","",""
"4/01/2020","TST* BRASSICA KITCHEJAMAICA PLAIN MA","TST* BRASSICA KITCHEJAMAICA PLAIN       MA","5.66","debit","Restaurants","American Express Gold Card","",""
"4/01/2020","EVERSOURCE WEB_PAY 5325 9551031120 WEB ID: 1202042013","EVERSOURCE       WEB_PAY    5325","102.05","debit","Utilities","TOTAL CHECKING","",""
"4/01/2020","CVS","CVS/PHARMACY #01264","13.82","debit","Pharmacy","freedom","",""
"3/31/2020","Happy Market and Spirits","HAPPY MARKET AND SPIRITS JAMAICA PLAINMA","13.97","debit","Alcohol & Bars","Discover","",""
"3/31/2020","NORTHEASTERN UNI PAYROLL PPD ID: 7041679980","NORTHEASTERN UNI PAYROLL","1209.98","credit","Paycheck","TOTAL CHECKING","",""
"3/31/2020","DISCOVER E-PAYMENT 4801 WEB ID: 2510020270","DISCOVER         E-PAYMENT  4801","146.25","debit","Credit Card Payment","TOTAL CHECKING","",""
"3/31/2020","CITI CARD ONLINE PAYMENT 4200 77197077748 WEB ID: CITICTP","CITI CARD ONLINE PAYMENT    4200","8.42","debit","Credit Card Payment","TOTAL CHECKING","",""
"3/31/2020","Nintendo Digital","NINTENDO    *AMERICAUS","0.10","debit","Entertainment","freedom","",""
"3/30/2020","GrubHub","AplPay GRUBHUB*GINGENEW YORK            NY","36.00","debit","Food & Dining","American Express Gold Card","",""
"3/30/2020","INTERNET PAYMENT - THANK YOU","INTERNET PAYMENT - THANK YOU","146.25","credit","Credit Card Payment","Discover","",""
"3/30/2020","ONLINE PAYMENT, THANK YOU","ONLINE PAYMENT, THANK YOU","8.42","credit","Credit Card Payment","Citi® Double Cash Card","",""
"3/30/2020","Chase card ending in 3408 03/30","Payment to Chase card ending in","171.95","debit","Credit Card Payment","TOTAL CHECKING","",""
"3/30/2020","American Express","AMERICAN EXPRESS ACH PMT    M247","60.62","debit","Credit Card Payment","TOTAL CHECKING","",""
"3/30/2020","- THANK YOU","ONLINE PAYMENT - THANK YOU","60.62","credit","Credit Card Payment","American Express Gold Card","",""
"3/30/2020","Payment Thank You-Mobile","Payment Thank You-Mobile","171.95","credit","Credit Card Payment","freedom","",""
"3/28/2020","Happy Market and Spirits","HAPPY MARKET AND SPIRITS JAMAICA PLAINMA","23.93","debit","Alcohol & Bars","Discover","",""
"3/28/2020","Spotify","Spotify USA 877-7781161 NY","4.99","debit","Music","Costco Anywhere Visa® Card by Citi","",""
"3/26/2020","TST* BRASSICA KITCHEN + C","TST* BRASSICA KITCHEN + C","18.70","debit","Restaurants","freedom","",""
"3/25/2020","Dunkin Donuts","DUNKIN #301292 Q35 3JAMAICA PLAIN       MA","4.49","debit","Coffee Shops","American Express Gold Card","",""
"3/25/2020","Venmo Cashout Ppd","VENMO            CASHOUT","101.67","credit","Income","TOTAL CHECKING","",""
"3/24/2020","Stop & Shop","STOP & SHOP 0412 BOSTON MA02479B","14.09","debit","Groceries","Discover","",""
"3/24/2020","Stop & Shop","STOP & SHOP 0412 BOSTON MA02401B","61.72","debit","Groceries","Discover","",""
"3/23/2020","TST* BRASSICA KITCHEN + C","TST* BRASSICA KITCHEN + C","6.00","debit","Restaurants","freedom","",""
"3/23/2020","Target","TARGET        00032235","39.81","debit","Shopping","freedom","",""
"3/22/2020","FOREST HILL CONVENIENCE","FOREST HILL CONVENIENCE","4.58","debit","Groceries","freedom","",""
"3/22/2020","CVS","CVS/PHARMACY #02070","16.99","debit","Pharmacy","freedom","",""
"3/22/2020","Amazon","Amazon.com*ZH7JC1B03","6.93","debit","Shopping","freedom","",""
"3/21/2020","Apple","APPLE.COM/BILL 866-712-7753 CA","0.99","debit","Electronics & Software","Citi® Double Cash Card","",""
"3/21/2020","GrubHub","AplPay GRUBHUB*SAMEONEW YORK            NY","24.00","debit","Food & Dining","American Express Gold Card","",""
"3/20/2020","1002 CAFFE NERO JAMABOSTON MA","1002 CAFFE NERO JAMABOSTON              MA","10.65","debit","Restaurants","American Express Gold Card","",""
"3/20/2020","Whole Foods","WHOLEFDS JMP #10438 JAMAICA PLAINMA","70.44","debit","Groceries","Discover","",""
"3/20/2020","Target","TARGET        00032268","23.64","debit","Shopping","freedom","",""
"3/19/2020","Dunkin Donuts","DUNKIN #301775 Q35 3JAMAICA PLAIN       MA","1.34","debit","Coffee Shops","American Express Gold Card","",""
"3/19/2020","Amazon","Amazon.com*TW8O068U3","10.61","debit","Shopping","freedom","",""
"3/19/2020","ATM WITHDRAWAL 001961 03/19870 COMMO","ATM WITHDRAWAL","100.00","debit","Cash & ATM","TOTAL CHECKING","",""
"3/19/2020","REMOTE ONLINE DEPOSIT # 1 1","REMOTE ONLINE DEPOSIT #","900.00","credit","Income","TOTAL CHECKING","",""
